Id,Category
169491,49
33711,23
100051,1
15271,57
13291,2
146571,1
145202,2
166652,33
1282,33
71512,57
24691,33
187130,28
31122,2
125731,33
125732,33
174961,33
125980,28
131642,57
135272,33
195130,2
195131,57
195132,46
11892,57
136812,2
84622,2
117291,2
21252,57
64220,50
84430,57
113740,57
113742,2
41071,50
27502,57
49681,1
49682,57
147491,57
19671,2
95480,53
138791,57
163772,2
96300,57
2350,53
2351,2
72000,33
152732,43
166402,57
131030,33
25160,57
25162,57
26752,57
26750,2
108460,57
148750,52
142411,57
92520,57
30542,2
91362,2
48642,2
93010,33
103052,33
149800,13
123661,39
123532,19
110692,57
185080,2
185082,39
105361,2
45442,57
160190,54
39651,57
145531,33
111060,33
78961,57
5421,1
166700,32
53202,33
146232,57
146230,53
33320,14
127890,21
99502,57
118582,2
198511,53
54671,57
169290,2
173191,2
59760,32
70241,39
153031,39
42671,13
115021,33
144440,28
40700,30
99281,18
47511,57
155602,33
23161,2
111342,57
44700,11
49941,18
49942,33
63760,57
195770,34
34431,33
110840,33
48390,57
178221,57
180352,2
40391,57
56811,2
140382,2
193091,57
193092,53
14951,24
61492,33
125192,33
65291,43
140792,11
1480,20
187462,28
71681,57
181042,33
7282,2
173022,57
172972,33
44680,33
33910,18
45202,2
47742,2
32132,57
145700,57
123210,2
187802,2
125340,53
22921,32
22922,2
152791,2
103951,2
38680,33
144780,57
44090,2
161972,57
53240,57
174292,34
25671,57
2902,33
177330,2
126211,2
20852,32
40462,33
20170,33
116572,2
99911,2
170710,6
19862,43
21360,33
65310,2
182260,57
60090,21
49371,2
167801,57
60021,2
49240,39
49242,53
187850,50
187852,57
21161,57
74410,26
74411,33
32971,57
199661,57
27022,57
70431,57
169272,57
185842,57
191321,57
20101,53
199532,12
160902,2
15761,33
78702,2
112340,57
156622,57
168932,33
198592,2
46852,2
75760,57
27252,57
146200,35
164940,18
1642,33
42180,57
44982,33
192601,33
66322,39
129281,57
76651,57
118021,57
88931,13
14771,2
103531,57
21841,33
50630,33
164541,33
164542,57
165211,33
15470,43
46072,57
92232,2
44202,57
30292,2
92291,57
19492,57
54402,2
80552,33
28730,53
188821,33
188822,2
22050,2
173220,20
18890,39
85081,22
60331,2
871,33
23252,1
150401,57
27652,24
118811,2
172612,57
171842,33
113832,57
48652,39
109782,33
133721,19
4032,33
94361,57
164832,57
164831,57
116021,57
12912,57
58512,57
59481,23
146080,57
69670,57
105210,2
182010,57
182012,57
35541,2
6512,57
43921,57
143600,39
115010,2
119190,6
99370,57
52390,10
199562,33
127151,2
43282,33
122142,2
104440,21
12872,57
118822,2
100981,2
155532,57
10672,53
161011,57
164251,33
38581,33
41551,52
55152,57
55151,57
111710,57
7381,57
7382,13
95741,20
189400,57
104530,33
16140,57
16141,57
29231,57
199681,2
199682,1
152802,57
163360,28
9062,57
83461,2
194811,2
8842,57
84821,49
18242,2
10362,30
133902,57
157892,2
